ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
1,Так,10,2026-07-23 20:42:13,2026-07-23 20:57:51,Так,Так,Так,Чоловіча,30,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Спонукання держави до раціональних дій і діалогу з громадянами,Так,Скоріше так,Точно ні,Важко відповісти,3,6,3,5,2,5,"Федоров, Железняк, Притула",7,Не погоджуюсь,2,Так
2,Так,10,2026-07-23 20:42:38,2026-07-23 20:46:35,Так,Так,Так,Жіноча,22,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Ні,Так,Ні,Ні,Так,,Так,Так,Ні,Ні,,Продемонструвати небайдужість українського суспільства до подекуди свавільних дій влади. З нами треба рахуватися,Ні,Скоріше так,Точно ні,Скоріше так,Важко сказати,6,2,7 - Повністю довіряю,3,6,"Стерненко, Совсун, Железняк",1,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
3,Ні,5,2026-07-23 20:42:57,2026-07-23 20:44:19,Так,Так,Так,Чоловіча,18,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,,,,,,,,,,,,,,,,
4,Так,10,2026-07-23 20:45:21,2026-07-23 20:49:57,Так,Так,Так,Жіноча,20,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Так,Ні,Ні,,Так,Ні,Так,Ні,,"Підтримати протести з вимогами повернення Федорова міністром оборони, та звільнення Сирського з посади головнокомандувача  ЗСУ",Ні,Скоріше так,Точно ні,Скоріше так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,4,4,"Федоров, Драпатий, Железняк",7,Не погоджуюсь,8,Ні
5,Так,10,2026-07-23 20:47:37,2026-07-23 21:07:07,Так,Так,Так,Жіноча,20,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,"Побачила СВАВІЛЛЯ, яке відбувається в країні",Ні,Ні,Так,Ні,,Показати владі шо ми не схаваєм. Домогтися відставки сирського та призначення Федорова мо.,Ні,Скоріше так,Скоріше ні,Важко відповісти,3,5,1 - Зовсім не довіряю,4,"Не знаю, хто це",4,"Наразі - федоров, буданов, ще декілька прізвища яких не пам'ятаю",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
6,Так,10,2026-07-23 20:48:08,2026-07-23 20:59:07,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Вирішила сама піти після відповідних безвідповідальних рішень президента. Не треба були навіть заклики блогерів і тд.,Так,Ні,Так,Ні,,"Зміну безвідповідальної та нарцисичної системи функціонування влади. Фігура Федорова для мене далеко не ідеальна, але враховуючи що він почав давати хоч якісь результати і боротися з корупцією - його звільнення стало тригером. Відповідно повернення федорова в міноборони і зміну Сирського на Драпатова (Done)",Ні,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,4,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,3,"Залужний, Драпатий, Порошенко",5,Зовсім не погоджуюсь,2,Так
7,Так,10,2026-07-23 20:49:02,2026-07-23 20:52:34,Так,Так,Так,Жіноча,21,Тернопільська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Тернопіль,Ні,Ні,Так,Ні,Ні,Так,,Ні,Так,Ні,Ні,,збільшити масовість,Ні,Скоріше так,Точно ні,Скоріше ні,6,7 - Повністю довіряю,3,Важко сказати,Важко сказати,Важко сказати,Федоров,4,Не погоджуюсь,4,Ні
8,Так,10,2026-07-23 20:52:29,2026-07-23 21:04:56,Так,Так,Так,Чоловіча,22,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Так,Ні,Ні,,Так,Ні,Ні,Так,,"Представляти голос своїх знайомих, родичів у ЗСУ або на держслужбі, які не мають права/змоги/сил висловитись проти репресій військових, слабкий рівень організації та гнучкості зі сторони командування для професійного зростання на службі та/або визнання їх заслуг",Ні,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,"Не знаю, хто це",Важко сказати,"Берлінській, Федорову, Кислиці, Портникову, Смєтаніну",4,Зовсім не погоджуюсь,3,Ні
9,Так,10,2026-07-23 20:52:55,2026-07-23 21:02:19,Так,Так,Так,Чоловіча,21,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,м. Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Мета - добитися повернення Михайла Федорова на посаду міністра оборони, аби боротьба з корупцією та армійські реформи продовжувалися й далі.

Після 1 дня, коли в мережі з'явилося більше інформації про Сирського, то також метою стала його відставка, аби дозволити продовження армійських реформ та недопущення подальшого тиску на військових, абі ті не боялися виражати свою думку",Так,Безумовно так,Скоріше ні,Безумовно так,3,6,2,6,3,4,Жодним.,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
10,Так,10,2026-07-23 21:02:51,2026-07-23 21:09:00,Так,Так,Так,Чоловіча,20,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,Після оголошення новин вирішив сам піти,Ні,Ні,Так,Ні,,"Моя мета - домогтися повернення Михайла Федорова на посаду міністра оборони України, відставка головнокомандувача Сирського(вже є), поставити в міністерство роботи з ветеранами - ветерана, а не Кіма.",Так,Безумовно так,Скоріше так,Безумовно так,2,7 - Повністю довіряю,2,7 - Повністю довіряю,2,5,"Федоров, Кривонос",4,"Наскільки погоджуюсь, настільки і не погоджуюсь",0 - Зовсім неприйнятно,Так
